Latitude, Longitude, Elevation
-32.608919818462,-69.9835471335431,4807.95458984375
-32.6089196336963,-69.982706495332,4810.55712890625
-32.6089194433316,-69.9818658571244,4808.404296875
-32.6089192473679,-69.9810252189205,4783.1982421875
-32.6089190458052,-69.9801845807203,4775.58251953125
-32.6089188386437,-69.9793439425239,4801.87451171875
-32.6089186258831,-69.9785033043314,4837.27978515625
-32.6089184075236,-69.9776626661431,4867.94921875
-32.6089181835651,-69.9768220279588,4882.09375
-32.6089179540076,-69.9759813897788,4893.3251953125
-32.6089177188512,-69.9751407516032,4920.87353515625
-32.6089174780959,-69.9743001134321,4959.06298828125
-32.6089172317415,-69.9734594752655,5001.2685546875
-32.6089169797882,-69.9726188371036,5025.01708984375
-32.608916722236,-69.9717781989465,4987.58203125
-32.6089164590848,-69.9709375607942,4928.71826171875
-32.6089161903346,-69.970096922647,4871.33740234375
-32.6089159159855,-69.9692562845049,4817.3466796875
-32.6089156360374,-69.9684156463679,4770.23388671875
-32.6089153504904,-69.9675750082363,4735.00634765625
-32.6089150593443,-69.9667343701101,4702.65771484375
-32.6089147625994,-69.9658937319894,4680.4931640625
-32.6089144602554,-69.9650530938743,4669.515625
-32.6089141523126,-69.964212455765,4653.763671875
-32.6089138387707,-69.9633718176614,4647.97412109375
-32.6089135196299,-69.9625311795639,4654.15234375
-32.6089131948901,-69.9616905414723,4661.62353515625
-32.6089128645514,-69.960849903387,4661.2236328125
-32.6089125286137,-69.9600092653078,4656.74072265625
-32.6089121870771,-69.959168627235,4658.5185546875
-32.6089118399415,-69.9583279891687,4671.33056640625
-32.6089114872069,-69.957487351109,4703.3046875
-32.6096196142935,-70.0642488247933,4614.07080078125
-32.6096199670377,-70.0634081800788,4612.7529296875
-32.6096203141827,-70.0625675353577,4618.384765625
-32.6096206557287,-70.0617268906302,4617.0146484375
-32.6096209916755,-70.0608862458963,4619.14453125
-32.6096213220233,-70.0600456011562,4620.35400390625
-32.6096216467719,-70.0592049564099,4621.61767578125
-32.6096219659214,-70.0583643116576,4644.05859375
-32.6096222794718,-70.0575236668993,4683.93994140625
-32.609622587423,-70.0566830221352,4731.9208984375
-32.6096228897752,-70.0558423773653,4783.03369140625
-32.6096231865283,-70.0550017325899,4820.5087890625
-32.6096234776822,-70.0541610878089,4878.19091796875
-32.609623763237,-70.0533204430225,4920.22802734375
-32.6096240431928,-70.0524797982308,4957.75048828125
-32.6096243175494,-70.0516391534339,4987.826171875
-32.6096245863069,-70.0507985086319,4976.447265625
-32.6096248494652,-70.0499578638249,4960.72265625
-32.6096251070245,-70.049117219013,4960.06787109375
-32.6096253589846,-70.0482765741964,4970.958984375
-32.6096256053457,-70.047435929375,4974.14501953125
-32.6096258461076,-70.0465952845491,4974.65234375
-32.6096260812704,-70.0457546397187,4963.72412109375
